Threshold,GAR_TPR,FAR_FPR,FRR
0.5,0.9747366688610928,0.7555555555555555,0.02526333113890722
0.51,0.9683179723502304,0.6444444444444445,0.03168202764976957
0.52,0.962228439763002,0.5555555555555556,0.037771560236998014
0.53,0.9543285055957867,0.4444444444444444,0.04567149440421325
0.54,0.9452764976958525,0.3333333333333333,0.054723502304147464
0.55,0.935154707044108,0.28888888888888886,0.06484529295589203
0.56,0.9222350230414746,0.2222222222222222,0.07776497695852536
0.57,0.9055299539170507,0.17777777777777778,0.09447004608294929
0.58,0.8864384463462804,0.1111111111111111,0.11356155365371956
0.59,0.8666886109282422,0.06666666666666667,0.13331138907175777
0.6,0.842577353522054,0.044444444444444446,0.15742264647794602
0.61,0.8142692560895326,0.022222222222222223,0.1857307439104674
0.62,0.7817643186306781,0.022222222222222223,0.21823568136932192
0.63,0.744321922317314,0.022222222222222223,0.255678077682686
0.64,0.7031764318630678,0.022222222222222223,0.2968235681369322
0.65,0.6537195523370638,0.022222222222222223,0.3462804476629362
0.66,0.6043449637919684,0.022222222222222223,0.39565503620803155
0.67,0.5529953917050692,0.022222222222222223,0.4470046082949308
0.68,0.49925938117182356,0.022222222222222223,0.5007406188281764
0.69,0.4470868992758394,0.022222222222222223,0.5529131007241606
0.7,0.3922811059907834,0.022222222222222223,0.6077188940092166
0.71,0.33838051349572085,0.022222222222222223,0.6616194865042792
0.72,0.2846445029624753,0.022222222222222223,0.7153554970375247
0.73,0.23403554970375248,0.022222222222222223,0.7659644502962475
0.74,0.19379526003949968,0.0,0.8062047399605003
0.75,0.15528308097432522,0.0,0.8447169190256748
0.76,0.15264976958525345,0.0,0.8473502304147466
0.77,0.11635944700460829,0.0,0.8836405529953917
0.78,0.08657011191573404,0.0,0.913429888084266
0.79,0.0608953258722844,0.0,0.9391046741277156
0.8,0.043120473996050034,0.0,0.95687952600395
0.81,0.029295589203423306,0.0,0.9707044107965767
0.82,0.01991441737985517,0.0,0.9800855826201448
0.83,0.011438446346280448,0.0,0.9885615536537196
0.84,0.007323897300855827,0.0,0.9926761026991442
0.85,0.004032258064516129,0.0,0.9959677419354839
0.86,0.002057274522712311,0.0,0.9979427254772877
0.87,0.0013989466754443713,0.0,0.9986010533245556
0.88,0.0010697827518104015,0.0,0.9989302172481896
0.89,0.0007406188281764319,0.0,0.9992593811718236
0.9,0.0004937458854509546,0.0,0.9995062541145491
0.91,0.00041145490454246215,0.0,0.9995885450954576
0.92,0.00041145490454246215,0.0,0.9995885450954576
0.93,0.00016458196181698485,0.0,0.999835418038183
0.94,0.00016458196181698485,0.0,0.999835418038183
0.95,0.00016458196181698485,0.0,0.999835418038183
0.96,0.00016458196181698485,0.0,0.999835418038183
0.97,0.00016458196181698485,0.0,0.999835418038183
0.98,0.00016458196181698485,0.0,0.999835418038183
0.99,8.229098090849243e-05,0.0,0.9999177090190915
